query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,keypoints_query,keypoints_candidate,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_035,s300_x255505.764_y3365151.700,19,0.5807313919067383,300.0,256,256,21,4,0.19047619047619047,0.0,0,-1.0,0.27370670334098146,0.30833333333333335,0.2944826813363926,0,0
q_035,s200_x255367.051_y3364642.665,20,0.580575704574585,200.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.2724200811576841,0.3386363636363637,0.31214985064489187,0,1
q_035,s300_x255492.051_y3364767.665,21,0.5777568221092224,300.0,256,256,15,4,0.26666666666666666,0.0,0,-1.0,0.24912443685650418,0.32166666666666666,0.2926497747426017,0,1
q_035,s200_x254825.317_y3364045.530,22,0.576775312423706,200.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.24101310167566284,0.325,0.29140524067026513,0,0
q_035,s200_x254825.317_y3364195.530,23,0.5757880806922913,200.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.2328544786963542,0.33333333333333337,0.2931417914785417,0,0
q_035,s500_x253783.067_y3364678.442,24,0.5750415325164795,500.0,256,256,13,4,0.3076923076923077,0.0,0,-1.0,0.22668489874007572,0.32884615384615384,0.2879816518037226,0,0
q_035,s200_x255530.764_y3365551.700,25,0.5746371746063232,200.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.22334322764838763,0.325,0.28433729105935507,0,0
q_035,s700_x254952.800_y3365363.601,26,0.5729793310165405,700.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.2096425732049601,0.3386363636363637,0.28703884746380226,0,1
q_035,s200_x255217.051_y3364492.665,27,0.5725588202476501,200.0,256,256,13,4,0.3076923076923077,0.0,0,-1.0,0.20616741259884874,0.32884615384615384,0.2797746573472318,0,1
q_035,s300_x255267.051_y3364767.665,28,0.5712206363677979,300.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.19510847131354667,0.33333333333333337,0.27804338852541866,0,1
q_035,s200_x254611.063_y3364816.491,29,0.5688741207122803,200.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.17571653329208786,0.3386363636363637,0.27346843149865335,0,0
q_035,s200_x255380.764_y3365101.700,30,0.5683467388153076,200.0,256,256,19,5,0.2631578947368421,1.052207350730896,0,-1.0,0.17135817453335317,0.29767837680257764,0.24715029589488785,0,0
q_035,s200_x254624.835_y3365275.528,31,0.5649880170822144,200.0,256,256,16,4,0.25,0.0,0,-1.0,0.14360122199552539,0.31875000000000003,0.24869048879821015,0,0
q_035,s200_x254839.058_y3364954.565,32,0.5623472332954407,200.0,256,256,16,4,0.25,0.0,0,-1.0,0.12177741042163968,0.31875000000000003,0.23996096416865587,0,0
q_035,s500_x254825.317_y3364045.530,33,0.5623419880867004,500.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.12173406327304467,0.325,0.24369362530921787,0,0
q_035,s200_x255367.051_y3364492.665,34,0.5607845187187195,200.0,256,256,9,4,0.4444444444444444,0.0,0,-1.0,0.10886291562773075,0.3527777777777778,0.25521183291775895,0,1
q_035,s300_x254449.835_y3365400.528,35,0.5599570274353027,300.0,256,256,20,5,0.25,0.6889359354972839,0,-1.0,0.1020244103556338,0.3207079854477726,0.2332345554109171,0,0
q_035,s300_x253141.241_y3363981.380,36,0.5594226717948914,300.0,256,256,10,4,0.4,0.0,0,-1.0,0.0976084195925171,0.34500000000000003,0.24604336783700687,0,0
q_035,s300_x254674.835_y3365400.528,37,0.5588659644126892,300.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.09300771086663757,0.33333333333333337,0.23720308434665505,0,0
q_035,s200_x254702.800_y3365563.601,38,0.5586373805999756,200.0,256,256,10,4,0.4,0.0,0,-1.0,0.09111866183411638,0.34500000000000003,0.24344746473364656,0,0
q_035,s300_x254752.800_y3365388.601,39,0.557665228843689,300.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.0830846619070184,0.3386363636363637,0.23641568294462556,0,0
q_035,s200_x255530.764_y3365401.700,40,0.5567528605461121,200.0,256,256,17,4,0.23529411764705882,0.0,0,-1.0,0.07554472095765673,0.3161764705882353,0.21992377073600386,0,0
q_035,s200_x254852.800_y3365263.601,41,0.5550452470779419,200.0,256,256,10,4,0.4,0.0,0,-1.0,0.06143276118381063,0.34500000000000003,0.23157310447352428,0,0
q_035,s200_x253091.241_y3363931.380,42,0.5546790957450867,200.0,256,256,10,4,0.4,0.0,0,-1.0,0.05840683466313847,0.34500000000000003,0.2303627338652554,0,0
q_035,s200_x255530.764_y3365101.700,43,0.5542307496070862,200.0,256,256,13,4,0.3076923076923077,0.0,0,-1.0,0.054701638620733135,0.32884615384615384,0.21918834775598556,0,0
q_035,s200_x255517.051_y3364642.665,44,0.5521584749221802,200.0,256,256,12,4,0.3333333333333333,0.0,0,-1.0,0.037576066857065736,0.33333333333333337,0.2150304267428263,0,1
q_035,s300_x254739.058_y3365004.565,45,0.5506183505058289,300.0,256,256,15,5,0.3333333333333333,0.6625730395317078,0,-1.0,0.02484826035085576,0.33712969963244427,0.21221712391980885,0,0
