query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_012,10,s200_x254689.058_y3364504.565,0.7303021550178528,200,254689.0576404855,3364504.5652137767,0
q_013,1,s200_x254324.835_y3365125.528,0.7804513573646545,200,254324.83531152448,3365125.5278006354,0
q_013,2,s200_x253091.241_y3363931.380,0.7761948704719543,200,253091.240806092,3363931.379625299,0
q_013,3,s200_x254461.063_y3364816.491,0.7735881805419922,200,254461.06292971745,3364816.490741796,0
q_013,4,s200_x253783.067_y3364528.442,0.772169828414917,200,253783.06710738334,3364528.4419510043,0
q_013,5,s200_x254297.293_y3364057.454,0.7703068852424622,200,254297.29280875245,3364057.454095203,0
q_013,6,s200_x254839.058_y3364504.565,0.7680339217185974,200,254839.0576404855,3364504.5652137767,1
q_013,7,s120_x254481.063_y3364746.491,0.7670397758483887,120,254481.06292971745,3364746.490741796,0
q_013,8,s200_x254675.317_y3364345.530,0.7656741142272949,200,254675.31714087684,3364345.5298480103,0
q_013,9,s200_x254989.058_y3364654.565,0.762441873550415,200,254989.0576404855,3364654.5652137767,0
q_013,10,s200_x254311.063_y3364966.491,0.760982096195221,200,254311.06292971745,3364966.490741796,0
q_014,1,s200_x253810.673_y3365746.519,0.7099733352661133,200,253810.6733898759,3365746.519046808,0
q_014,2,s200_x255203.340_y3364183.631,0.7030133008956909,200,255203.3403633765,3364183.6312788753,0
q_014,3,s120_x253925.470_y3363270.367,0.7025337219238281,120,253925.4698876719,3363270.3665024354,0
q_014,4,s200_x254311.063_y3364816.491,0.698487401008606,200,254311.06292971745,3364816.490741796,0
q_014,5,s200_x255717.683_y3363412.726,0.6974049806594849,200,255717.68346681632,3363412.725988563,0
q_014,6,s120_x253800.673_y3365796.519,0.6960775852203369,120,253800.6733898759,3365796.519046808,0
q_014,7,s200_x255544.480_y3366010.735,0.693006157875061,200,255544.479752744,3366010.7347813593,0
q_014,8,s200_x255717.683_y3363562.726,0.6920578479766846,200,255717.68346681632,3363562.725988563,0
q_014,9,s200_x253783.067_y3364528.442,0.6911773681640625,200,253783.06710738334,3364528.4419510043,0
q_014,10,s200_x253633.067_y3364528.442,0.6898596286773682,200,253633.06710738334,3364528.4419510043,0
q_015,1,s200_x255717.683_y3363562.726,0.8043776750564575,200,255717.68346681632,3363562.725988563,0
q_015,2,s200_x254852.800_y3365113.601,0.7967144846916199,200,254852.80039608278,3365113.6009922293,1
q_015,3,s200_x253418.902_y3365449.458,0.796332836151123,200,253418.9018066581,3365449.4584696507,0
q_015,4,s120_x255253.340_y3364203.631,0.782689094543457,120,255253.3403633765,3364203.6312788753,0
q_015,5,s200_x255203.340_y3364183.631,0.7813760042190552,200,255203.3403633765,3364183.6312788753,0
q_015,6,s200_x255717.683_y3363412.726,0.7788728475570679,200,255717.68346681632,3363412.725988563,0
q_015,7,s200_x255544.480_y3366010.735,0.77474045753479,200,255544.479752744,3366010.7347813593,0
q_015,8,s120_x255767.683_y3363492.726,0.773285984992981,120,255767.68346681632,3363492.725988563,0
