query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_strict_truth_hit
q_013,4,4,s200_x253091.241_y3363931.380,0.7761948704719543,200.0,253091.240806092,3363931.379625299,11,4,0.36363636363636365,0.0,0,-1.0,0.7489005354904865,0.3386363636363637,0.5027420323780128,0,0
q_013,5,5,s200_x254461.063_y3364816.491,0.7735881805419922,200.0,254461.06292971745,3364816.490741796,18,4,0.2222222222222222,0.0,0,-1.0,0.6492468952945197,0.3138888888888889,0.4480320914511412,0,0
q_013,6,6,s200_x253783.067_y3364528.442,0.772169828414917,200.0,253783.06710738334,3364528.4419510043,20,4,0.2,0.0,0,-1.0,0.595023356499943,0.31,0.4240093425999772,0,0
q_013,7,7,s200_x254297.293_y3364057.454,0.7703068852424622,200.0,254297.29280875245,3364057.454095203,10,4,0.4,0.0,0,-1.0,0.5238031217956022,0.34500000000000003,0.4165212487182409,0,0
q_013,8,8,s300_x254725.317_y3364170.530,0.7696821093559265,300.0,254725.31714087684,3364170.5298480103,21,5,0.23809523809523808,0.9962239265441895,0,-1.0,0.49991796741483424,0.2916666666666667,0.37496718696593373,0,0
q_013,9,9,s200_x254839.058_y3364504.565,0.7680339217185974,200.0,254839.0576404855,3364504.5652137767,12,4,0.3333333333333333,0.0,0,-1.0,0.43690782727583455,0.33333333333333337,0.37476313091033386,0,1
q_013,10,10,s200_x254675.317_y3364345.530,0.7656741142272949,200.0,254675.31714087684,3364345.5298480103,23,4,0.17391304347826086,0.0,0,-1.0,0.3466924917397744,0.30543478260869567,0.3219378662611272,0,0
q_013,11,11,s300_x253696.869_y3365412.480,0.7645871639251709,300.0,253696.86911584332,3365412.480292981,16,4,0.25,0.0,0,-1.0,0.30513842998746726,0.31875000000000003,0.3133053719949869,0,0
q_013,12,14,s300_x254964.058_y3364554.565,0.7613454461097717,300.0,254964.0576404855,3364554.5652137767,7,4,0.5714285714285714,0.0,0,-1.0,0.1812077019482739,0.375,0.2974830807793095,0,1
q_013,13,12,s200_x254989.058_y3364654.565,0.762441873550415,200.0,254989.0576404855,3364654.5652137767,10,4,0.4,0.0,0,-1.0,0.22312407428506323,0.34500000000000003,0.2962496297140253,0,0
q_013,14,13,s300_x253683.067_y3364578.442,0.7623045444488525,300.0,253683.06710738334,3364578.4419510043,15,4,0.26666666666666666,0.0,0,-1.0,0.2178739888344537,0.32166666666666666,0.2801495955337815,0,0
q_013,15,15,s200_x254311.063_y3364966.491,0.760982096195221,200.0,254311.06292971745,3364966.490741796,12,4,0.3333333333333333,0.0,0,-1.0,0.16731685086020281,0.33333333333333337,0.26692674034408115,0,0
q_013,16,17,s300_x254449.835_y3365400.528,0.7594072818756104,300.0,254449.83531152448,3365400.5278006354,11,4,0.36363636363636365,0.0,0,-1.0,0.10711176939728836,0.3386363636363637,0.24602652594073357,0,0
q_013,17,16,s200_x254839.058_y3364954.565,0.7598789930343628,200.0,254839.0576404855,3364954.5652137767,17,4,0.23529411764705882,0.0,0,-1.0,0.12514526603623105,0.3161764705882353,0.2397639887674336,0,0
q_013,18,18,s500_x255394.480_y3366235.735,0.7591779232025146,500.0,255394.479752744,3366235.7347813593,24,4,0.16666666666666666,0.0,0,-1.0,0.09834339751623561,0.3041666666666667,0.22183735900649426,0,0
q_013,19,19,s300_x254422.293_y3363957.454,0.7572500705718994,300.0,254422.29280875245,3363957.454095203,18,4,0.2222222222222222,0.0,0,-1.0,0.024641677110630054,0.3138888888888889,0.19819000417758534,0,0
q_013,20,20,s300_x255267.051_y3364542.665,0.7566055059432983,300.0,255267.05124207112,3364542.665366566,14,4,0.2857142857142857,0.0,0,-1.0,0.0,0.325,0.195,0,0
q_014,1,1,s500_x253783.067_y3364678.442,0.7479562759399414,500.0,253783.06710738334,3364678.4419510043,14,4,0.2857142857142857,0.0,0,-1.0,1.0,0.2361111111111111,0.5416666666666667,0,0
q_014,2,3,s300_x253683.067_y3364578.442,0.7309508919715881,300.0,253683.06710738334,3364578.4419510043,11,4,0.36363636363636365,0.0,0,-1.0,0.7016607689604979,0.24974747474747472,0.43051279243268403,0,0
q_014,3,2,s700_x253883.067_y3364778.442,0.7316728830337524,700.0,253883.06710738334,3364778.4419510043,24,4,0.16666666666666666,0.0,0,-1.0,0.7143272432197293,0.2152777777777778,0.41489756395455846,0,0
q_014,4,4,s700_x254952.800_y3365363.601,0.72284334897995,700.0,254952.80039608278,3365363.6009922293,13,4,0.3076923076923077,0.0,0,-1.0,0.5594235724204856,0.23995726495726494,0.3677437879425532,0,0
q_014,5,5,s200_x253810.673_y3365746.519,0.7099733352661133,200.0,253810.6733898759,3365746.519046808,14,4,0.2857142857142857,0.0,0,-1.0,0.3336344927972695,0.2361111111111111,0.2751204637855744,0,0
q_014,6,7,s300_x254725.317_y3364170.530,0.7073183655738831,300.0,254725.31714087684,3364170.5298480103,15,4,0.26666666666666666,0.0,0,-1.0,0.2870562080677274,0.23277777777777775,0.2544891498937576,0,0
q_014,7,6,s300_x254449.835_y3365625.528,0.7075850367546082,300.0,254449.83531152448,3365625.5278006354,28,5,0.17857142857142858,0.5586523413658142,0,-1.0,0.29173463668456895,0.2257736201835026,0.2521580267839292,0,0
q_014,8,10,s300_x255253.340_y3364158.631,0.7017529010772705,300.0,255253.3403633765,3364158.6312788753,55,9,0.16363636363636364,2.163611888885498,0,-1.0,0.18941675450484366,0.2786363636363636,0.24294851998375566,0,0
q_014,9,9,s300_x253908.067_y3364803.442,0.7025893926620483,300.0,253908.06710738334,3364803.4419510043,12,4,0.3333333333333333,0.0,0,-1.0,0.2040920042162325,0.2444444444444444,0.22830346835315965,0,0
q_014,10,8,s200_x255203.340_y3364183.631,0.7030133008956909,200.0,255203.3403633765,3364183.6312788753,17,4,0.23529411764705882,0.0,0,-1.0,0.21152896986732253,0.22728758169934637,0.22098413696653685,0,0
q_014,11,11,s300_x255767.683_y3363537.726,0.7016010284423828,300.0,255767.68346681632,3363537.725988563,18,4,0.2222222222222222,0.0,0,-1.0,0.18675232980307518,0.22499999999999998,0.20970093192123007,0,0
q_014,12,14,s300_x254449.835_y3365400.528,0.6966174840927124,300.0,254449.83531152448,3365400.5278006354,21,5,0.23809523809523808,0.013687210157513618,0,-1.0,0.09932197292911041,0.2550810985759619,0.1927774483172213,0,0
q_014,13,13,s200_x255717.683_y3363412.726,0.6974049806594849,200.0,255717.68346681632,3363412.725988563,17,4,0.23529411764705882,0.0,0,-1.0,0.11313766333718148,0.22728758169934637,0.1816276143544804,0,0
q_014,14,12,s200_x254311.063_y3364816.491,0.698487401008606,200.0,254311.06292971745,3364816.490741796,28,5,0.17857142857142858,0.9844897985458374,0,-1.0,0.13212744064648899,0.21101228084507195,0.17945834476563877,0,0
q_014,15,15,s500_x254825.317_y3364045.530,0.6952329277992249,500.0,254825.31714087684,3364045.5298480103,13,4,0.3076923076923077,0.0,0,-1.0,0.07503157991600998,0.23995726495726494,0.17398699094076295,0,0
q_014,16,18,s200_x255717.683_y3363562.726,0.6920578479766846,200.0,255717.68346681632,3363562.725988563,9,4,0.4444444444444444,0.0,0,-1.0,0.019328581706235675,0.2638888888888889,0.1660647660158276,0,0
q_014,17,16,s200_x255544.480_y3366010.735,0.693006157875061,200.0,255544.479752744,3366010.7347813593,13,4,0.3076923076923077,0.0,0,-1.0,0.03596555070354197,0.23995726495726494,0.15836057925577574,0,0
q_014,18,17,s500_x253268.902_y3365299.458,0.6928316354751587,500.0,253268.9018066581,3365299.4584696507,13,4,0.3076923076923077,0.0,0,-1.0,0.03290376282019107,0.23995726495726494,0.15713586410243538,0,0
q_014,19,19,s200_x253783.067_y3364528.442,0.6911773681640625,200.0,253783.06710738334,3364528.4419510043,18,4,0.2222222222222222,0.0,0,-1.0,0.0038816108685104317,0.22499999999999998,0.13655264434740416,0,0
