query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_023,DJI_202510311413_010_新建面状航线1,20,20,cw_s700_x254783.721_y3364377.517,0.756569,1,ok,applicable_success,4395.000000,0.880409,2.255658,0.000000,20806147.256183,64.744226,"[-3.039440064179173, -0.7535386363264066, -0.005634064425143189]","[-1796956.8911379226, 2855477.500805424, 29051.15343257031]",254887.563231,3364324.891000,391.967688,0.063257
q_024,DJI_202510311413_010_新建面状航线1,20,20,cw_s500_x254758.721_y3364502.517,0.784766,1,ok,applicable_success,4466.000000,0.893379,2.139520,0.000000,20791293.936804,29.971737,"[-3.0275350229915214, -0.7874394777953341, -0.004238745532000831]","[-1861764.6050196558, 2813814.356013292, 39968.075708657525]",254752.688156,3364582.743233,391.796133,0.092418
q_025,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254433.721_y3365227.517,0.743777,1,ok,applicable_success,4382.000000,0.876751,2.735021,0.000000,13664648.640641,46.150534,"[0.807439394816458, -3.035507583105325, 0.009458583297506281]","[1892869.2817880763, -2793969.8887802, 19009.4570438166]",254527.299985,3365233.857622,392.280987,0.012748
q_026,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254658.721_y3365002.517,0.766683,1,ok,applicable_success,4590.000000,0.919840,2.110389,0.000000,10492922.988281,54.640120,"[-0.8110867931164538, 3.027943041249456, 0.00020574844143999356]","[1902586.900319268, -2787271.7828646903, 7677.632038829249]",254594.246876,3365109.428686,391.511818,0.032872
q_027,DJI_202510311413_010_新建面状航线1,20,20,cw_s500_x254758.721_y3364877.517,0.731680,1,ok,applicable_success,4408.000000,0.881600,2.645365,0.000000,20154044.697713,39.924850,"[-0.8191699332617286, 3.0304384139731795, 0.001865968968464905]","[1915301.9311952258, -2778346.0170043926, -705.9443052381912]",254689.311783,3364925.226100,391.687449,0.018934
q_028,DJI_202510311413_010_新建面状航线1,20,20,cw_s700_x254783.721_y3364377.517,0.737081,1,ok,applicable_success,4250.000000,0.850340,2.291182,0.000000,20843207.672745,40.476828,"[-0.814057704009891, 3.0279794396363915, 0.010134993652015556]","[1907697.585559298, -2783127.9771738164, -13379.67250069864]",254877.839372,3364569.447096,391.888481,0.001087
q_029,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x255108.721_y3364327.517,0.826004,1,ok,applicable_success,4864.000000,0.973384,1.538296,0.000000,10240883.935899,66.524346,"[-3.0321086347137114, -0.772027067466486, -0.005464044975095927]","[-1832988.207384575, 2832297.7236164296, 37350.54708371322]",255177.847409,3364228.788266,391.634407,0.078371
q_030,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x255108.721_y3364327.517,0.826743,1,ok,applicable_success,4888.000000,0.978383,1.819934,0.000000,14112914.597264,66.999617,"[-3.0337762633210956, -0.7777254470729246, -0.013367458022307682]","[-1842284.1131697132, 2826559.0098093883, 22105.516993066278]",255110.870120,3364350.388104,391.749269,0.120031
q_031,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x255108.721_y3364552.517,0.834670,1,ok,applicable_success,4935.000000,0.987593,1.578010,0.000000,12777271.392998,61.921033,"[-3.035922282385954, -0.7803707221482561, -0.0055410300577515646]","[-1845896.9630968096, 2824364.6292474894, 18839.739650884916]",255047.935357,3364472.691273,391.730786,0.086625
q_032,DJI_202510311413_010_新建面状航线1,20,20,cw_s700_x254783.721_y3364902.517,0.757283,1,ok,applicable_success,4292.000000,0.858400,2.693844,0.000000,20835386.890707,55.815828,"[-3.0224842942893404, -0.8053274008576641, -0.01518031360638963]","[-1895409.086790868, 2791970.3232372887, 32996.40013444848]",254718.256962,3365097.488994,392.028234,0.026239
q_033,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254658.721_y3365227.517,0.738478,1,ok,applicable_success,4677.000000,0.935587,1.738103,0.000000,13271051.405375,27.463946,"[-0.7820585370556419, 3.0278343642584473, 0.01601679869925393]","[1852681.6814646958, -2820824.3001166843, -16715.502687007178]",254763.274869,3365242.052752,391.362667,0.023697
q_034,DJI_202510311413_010_新建面状航线1,20,20,cw_s700_x254783.721_y3364902.517,0.736913,1,ok,applicable_success,4280.000000,0.856000,2.415753,0.000000,20846903.666088,53.418393,"[-0.7934838636591403, 3.032316699656889, 0.016267364454219477]","[1870491.2336308046, -2808773.9021040886, -24891.22694854976]",254858.578902,3365057.921136,391.881181,0.037046
q_035,DJI_202510311413_010_新建面状航线1,20,20,cw_s700_x254783.721_y3364902.517,0.734881,1,ok,applicable_success,4357.000000,0.871923,2.614012,0.000000,20828244.924149,53.955338,"[-0.8022074077466764, 3.0298231604303356, 0.016866423988990346]","[1886718.5732311076, -2797813.8323379005, -25803.879627358343]",254894.216592,3364990.912310,391.946245,0.007749
q_036,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x255108.721_y3364327.517,0.817878,1,ok,applicable_success,4778.000000,0.956174,2.020025,0.000000,11327201.845217,62.042616,"[-0.8093186977936746, 3.0178716229418523, 0.012081831241871344]","[1904429.412970484, -2785259.9257832593, -5153.8521124477975]",255190.698377,3364435.816028,390.698693,0.103990
q_037,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254658.721_y3365002.517,0.266311,1,ok,applicable_success,14.000000,0.002806,6.084445,0.000000,1713597.541105,55.669717,"[0.18585915638219638, 2.157073268859314, 1.3715395287050072]","[818005.0933611821, -1665123.506494873, -2818551.8246466117]",254564.073638,3364699.109526,218.250336,0.038537
q_038,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x255108.721_y3364777.517,0.780327,1,ok,applicable_success,4862.000000,0.973958,2.155015,0.000000,11990129.830047,43.531407,"[-3.0337177041357, -0.7827775669698619, -0.0019933465052072627]","[-1851275.2982205374, 2821085.841499083, 26199.646871252622]",255160.668300,3364717.648892,391.143176,0.120028
q_039,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254883.721_y3365002.517,0.810408,1,ok,applicable_success,4789.000000,0.957992,1.464077,0.000000,13215309.710644,50.664879,"[-3.026024864602849, -0.785420864975068, -0.002193364140186751]","[-1859315.0037233275, 2815883.398827782, 47704.785034782064]",254988.021213,3365042.095023,391.334007,0.047734
q_040,DJI_202510311413_010_新建面状航线1,20,20,cw_s300_x254883.721_y3365227.517,0.753643,1,ok,applicable_success,4549.000000,0.909800,2.712795,0.000000,9718456.758020,31.930440,"[-3.0147482754083073, -0.8023306970243129, -0.028543696520487966]","[-1894207.8666550608, 2792861.8182941866, 49433.59444361825]",254817.829703,3365354.658799,390.650555,0.016808
