dsm_id,candidate_tile_id,dsm_source_name,crs,tile_min_x,tile_min_y,tile_max_x,tile_max_y,expand_margin_m,request_min_x,request_min_y,request_max_x,request_max_y,raster_path,status,download_request_id
s200_x253091.241_y3364231.380,s200_x253091.241_y3364231.380,srtm,EPSG:32650,252991.240806092,3364131.379625299,253191.240806092,3364331.379625299,250.000,252741.240806,3363881.379625,253441.240806,3364581.379625,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253091.241_y3364231.380.tif,ready,srtm_s200_x253091.241_y3364231.380
s200_x255867.683_y3363262.726,s200_x255867.683_y3363262.726,srtm,EPSG:32650,255767.68346681632,3363162.725988563,255967.68346681632,3363362.725988563,250.000,255517.683467,3362912.725989,256217.683467,3363612.725989,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255867.683_y3363262.726.tif,ready,srtm_s200_x255867.683_y3363262.726
s200_x253227.414_y3363622.341,s200_x253227.414_y3363622.341,srtm,EPSG:32650,253127.41371175498,3363522.340820132,253327.41371175498,3363722.340820132,250.000,252877.413712,3363272.340820,253577.413712,3363972.340820,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253227.414_y3363622.341.tif,ready,srtm_s200_x253227.414_y3363622.341
s700_x253896.869_y3365387.480,s700_x253896.869_y3365387.480,srtm,EPSG:32650,253546.86911584332,3365037.480292981,254246.86911584332,3365737.480292981,250.000,253296.869116,3364787.480293,254496.869116,3365987.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x253896.869_y3365387.480.tif,ready,srtm_s700_x253896.869_y3365387.480
s500_x255394.480_y3365860.735,s500_x255394.480_y3365860.735,srtm,EPSG:32650,255144.479752744,3365610.7347813593,255644.479752744,3366110.7347813593,250.000,254894.479753,3365360.734781,255894.479753,3366360.734781,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255394.480_y3365860.735.tif,ready,srtm_s500_x255394.480_y3365860.735
s300_x254991.545_y3365997.637,s300_x254991.545_y3365997.637,srtm,EPSG:32650,254841.5454075462,3365847.637183411,255141.5454075462,3366147.637183411,250.000,254591.545408,3365597.637183,255391.545408,3366397.637183,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254991.545_y3365997.637.tif,ready,srtm_s300_x254991.545_y3365997.637
s200_x253241.241_y3364081.380,s200_x253241.241_y3364081.380,srtm,EPSG:32650,253141.240806092,3363981.379625299,253341.240806092,3364181.379625299,250.000,252891.240806,3363731.379625,253591.240806,3364431.379625,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253241.241_y3364081.380.tif,ready,srtm_s200_x253241.241_y3364081.380
s300_x254224.835_y3365175.528,s300_x254224.835_y3365175.528,srtm,EPSG:32650,254074.83531152448,3365025.5278006354,254374.83531152448,3365325.5278006354,250.000,253824.835312,3364775.527801,254624.835312,3365575.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254224.835_y3365175.528.tif,ready,srtm_s300_x254224.835_y3365175.528
s700_x254424.835_y3365375.528,s700_x254424.835_y3365375.528,srtm,EPSG:32650,254074.83531152448,3365025.5278006354,254774.83531152448,3365725.5278006354,250.000,253824.835312,3364775.527801,255024.835312,3365975.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x254424.835_y3365375.528.tif,ready,srtm_s700_x254424.835_y3365375.528
s200_x254324.835_y3365275.528,s200_x254324.835_y3365275.528,srtm,EPSG:32650,254224.83531152448,3365175.5278006354,254424.83531152448,3365375.5278006354,250.000,253974.835312,3364925.527801,254674.835312,3365625.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254324.835_y3365275.528.tif,ready,srtm_s200_x254324.835_y3365275.528
s300_x254211.063_y3365016.491,s300_x254211.063_y3365016.491,srtm,EPSG:32650,254061.06292971745,3364866.490741796,254361.06292971745,3365166.490741796,250.000,253811.062930,3364616.490742,254611.062930,3365416.490742,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254211.063_y3365016.491.tif,ready,srtm_s300_x254211.063_y3365016.491
s300_x254436.063_y3365016.491,s300_x254436.063_y3365016.491,srtm,EPSG:32650,254286.06292971745,3364866.490741796,254586.06292971745,3365166.490741796,250.000,254036.062930,3364616.490742,254836.062930,3365416.490742,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254436.063_y3365016.491.tif,ready,srtm_s300_x254436.063_y3365016.491
s200_x254624.835_y3365125.528,s200_x254624.835_y3365125.528,srtm,EPSG:32650,254524.83531152448,3365025.5278006354,254724.83531152448,3365225.5278006354,250.000,254274.835312,3364775.527801,254974.835312,3365475.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254624.835_y3365125.528.tif,ready,srtm_s200_x254624.835_y3365125.528
s200_x255694.480_y3365710.735,s200_x255694.480_y3365710.735,srtm,EPSG:32650,255594.479752744,3365610.7347813593,255794.479752744,3365810.7347813593,250.000,255344.479753,3365360.734781,256044.479753,3366060.734781,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255694.480_y3365710.735.tif,ready,srtm_s200_x255694.480_y3365710.735
s200_x255867.683_y3363412.726,s200_x255867.683_y3363412.726,srtm,EPSG:32650,255767.68346681632,3363312.725988563,255967.68346681632,3363512.725988563,250.000,255517.683467,3363062.725989,256217.683467,3363762.725989,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255867.683_y3363412.726.tif,ready,srtm_s200_x255867.683_y3363412.726
s200_x254474.835_y3365125.528,s200_x254474.835_y3365125.528,srtm,EPSG:32650,254374.83531152448,3365025.5278006354,254574.83531152448,3365225.5278006354,250.000,254124.835312,3364775.527801,254824.835312,3365475.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254474.835_y3365125.528.tif,ready,srtm_s200_x254474.835_y3365125.528
s300_x255767.683_y3363312.726,s300_x255767.683_y3363312.726,srtm,EPSG:32650,255617.68346681632,3363162.725988563,255917.68346681632,3363462.725988563,250.000,255367.683467,3362912.725989,256167.683467,3363712.725989,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255767.683_y3363312.726.tif,ready,srtm_s300_x255767.683_y3363312.726
s200_x254338.610_y3366034.565,s200_x254338.610_y3366034.565,srtm,EPSG:32650,254238.6099540508,3365934.565271766,254438.6099540508,3366134.565271766,250.000,253988.609954,3365684.565272,254688.609954,3366384.565272,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254338.610_y3366034.565.tif,ready,srtm_s200_x254338.610_y3366034.565
s300_x254463.610_y3366009.565,s300_x254463.610_y3366009.565,srtm,EPSG:32650,254313.6099540508,3365859.565271766,254613.6099540508,3366159.565271766,250.000,254063.609954,3365609.565272,254863.609954,3366409.565272,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254463.610_y3366009.565.tif,ready,srtm_s300_x254463.610_y3366009.565
s300_x253921.869_y3365187.480,s300_x253921.869_y3365187.480,srtm,EPSG:32650,253771.86911584332,3365037.480292981,254071.86911584332,3365337.480292981,250.000,253521.869116,3364787.480293,254321.869116,3365587.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253921.869_y3365187.480.tif,ready,srtm_s300_x253921.869_y3365187.480
s300_x255744.480_y3365760.735,s300_x255744.480_y3365760.735,srtm,EPSG:32650,255594.479752744,3365610.7347813593,255894.479752744,3365910.7347813593,250.000,255344.479753,3365360.734781,256144.479753,3366160.734781,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255744.480_y3365760.735.tif,ready,srtm_s300_x255744.480_y3365760.735
