query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_002,cw_s300_x254658.721_y3365227.517,5,0.8254281282424927,300.000,25,0.16,4,0.16,3.814697265625e-06,0,-1.0,0.519319660839236,0.04848137535816622,0.10390892091815745,0.27007321688658886,0,0
q_002,cw_s200_x253933.721_y3364352.517,6,0.8207162618637085,200.000,18,0.2222222222222222,4,0.2222222222222222,1.52587890625e-05,0,-1.0,0.4539516661181572,0.22445081184336196,0.12928325137472607,0.25915061727209854,0,0
q_002,cw_s500_x254008.721_y3364877.517,7,0.8190638422966003,500.000,737,0.2537313432835821,187,0.2537313432835821,2.1953282356262207,1,187025.7151195256,0.43102755391792863,0.3135611341572938,0.5058404941244355,0.5759153180418328,0,1
q_002,cw_s300_x254208.721_y3365002.517,8,0.8180068135261536,300.000,26,0.19230769230769232,5,0.19230769230769232,0.0,0,-1.0,0.4163633326663017,0.13985012122547943,0.11809961579298918,0.2374051025423142,0,0
q_002,cw_s500_x254758.721_y3364877.517,9,0.8088025450706482,500.000,15,0.3333333333333333,5,0.3333333333333333,4.882812572759576e-05,0,-1.0,0.2886719841764668,0.5386819484240687,0.17560933550351912,0.2208343949726982,0,0
q_002,cw_s300_x255108.721_y3365227.517,10,0.8064156770706177,300.000,14,0.2857142857142857,4,0.2857142857142857,0.0,0,-1.0,0.2555588263992366,0.40401146131805155,0.15517634555167464,0.19532933789069942,0,0
q_002,cw_s300_x253983.721_y3364777.517,11,0.8023219704627991,300.000,514,0.30739299610894943,158,0.30739299610894943,2.110201597213745,1,158031.70302797479,0.19876659792382279,0.46532059358032407,0.4965409908483944,0.47743123367856577,0,1
q_002,cw_s200_x254233.721_y3364952.517,12,0.8007038831710815,200.000,28,0.14285714285714285,4,0.14285714285714285,0.0,0,-1.0,0.1763187793652395,0.0,0.09691805656272662,0.12867834568373177,0,0
q_002,cw_s300_x253983.721_y3364552.517,13,0.8004390001296997,300.000,105,0.49523809523809526,52,0.49523809523809526,1.7880674600601196,1,52052.68812301613,0.17264404161615693,0.9965616045845272,0.4565324723993423,0.44297710008606817,0,0
q_002,cw_s300_x254658.721_y3365002.517,14,0.7999754548072815,300.000,20,0.25,5,0.25,5.0330876547377557e-05,0,-1.0,0.16621325055526245,0.3030085959885387,0.14162528225413765,0.1514604695745876,0,0
q_002,cw_s200_x253783.721_y3364802.517,15,0.7997614741325378,200.000,475,0.4147368421052632,197,0.4147368421052632,2.0804247856140137,1,197043.54062784597,0.16324468428181368,0.7688976021716183,0.6653147289217324,0.5644867110657649,0,1
q_002,cw_s200_x254683.721_y3364952.517,16,0.7996937036514282,200.000,26,0.15384615384615385,4,0.15384615384615385,7.62939453125e-05,0,-1.0,0.16230450047877434,0.031077804716773245,0.10139685694317209,0.125759914357413,0,0
q_002,cw_s200_x253933.721_y3364952.517,17,0.7966123819351196,200.000,203,0.3251231527093596,66,0.3251231527093596,1.8158897161483765,1,66033.94765708188,0.11955714614111192,0.5154628989230313,0.3443093827200016,0.3544084880884457,0,0
q_002,cw_s200_x254683.721_y3364202.517,18,0.7933623790740967,200.000,28,0.14285714285714285,4,0.14285714285714285,9.179022890748456e-05,0,-1.0,0.07446966852939377,0.0,0.09691492069126267,0.0879368198265151,0,0
q_002,cw_s300_x254208.721_y3365227.517,19,0.7895430326461792,300.000,25,0.24,6,0.24,0.00016402704932261258,0,-1.0,0.021483654693724995,0.2747277936962751,0.13855854619708968,0.0917285895957438,0,0
q_002,cw_s300_x254208.721_y3364102.517,20,0.7879944443702698,300.000,26,0.19230769230769232,5,0.19230769230769232,0.9929794073104858,0,-1.0,0.0,0.13985012122547943,0.08417600731398522,0.050505604388391134,0,0
q_003,cw_s300_x253983.721_y3364552.517,1,0.7538789510726929,300.000,638,0.3275862068965517,209,0.3275862068965517,1.944193959236145,1,209034.09028879937,1.0,0.4128469301934398,0.5398644898228344,0.8739186938937007,1,1
q_003,cw_s200_x254833.721_y3365102.517,2,0.6958667039871216,200.000,20,0.2,4,0.2,0.0,0,-1.0,0.6164175816293594,0.18140243902439024,0.12150158844025415,0.3194679857158963,0,0
q_003,cw_s500_x254008.721_y3364502.517,3,0.6942495107650757,500.000,935,0.2545454545454545,238,0.2545454545454545,2.126957654953003,1,238025.87304234505,0.6057245483777779,0.28034922394678485,0.532012620137731,0.7114973914337498,1,1
