query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y
q_035,14,s500_x255394.480_y3365860.735,0.0521999985261,500.0,255394.479752744,3365860.7347813593
q_035,15,s300_x255267.051_y3364542.665,0.179322977687,300.0,255267.05124207112,3364542.665366566
q_035,16,s700_x253883.067_y3364778.442,0.142782721845,700.0,253883.06710738334,3364778.4419510043
q_035,17,s200_x254461.063_y3364816.491,0.196628734851,200.0,254461.06292971745,3364816.490741796
q_035,18,s300_x254436.063_y3364791.491,0.125994774846,300.0,254436.06292971745,3364791.490741796
q_035,19,s200_x254147.293_y3364207.454,0.266106827627,200.0,254147.29280875245,3364207.454095203
q_035,20,s300_x254725.317_y3364170.530,0.267060845096,300.0,254725.31714087684,3364170.5298480103
q_036,1,s200_x253810.673_y3365746.519,0.726268857529,200.0,253810.6733898759,3365746.519046808
q_036,2,s300_x255267.051_y3364542.665,0.697390591521,300.0,255267.05124207112,3364542.665366566
q_036,3,s200_x253933.067_y3364978.442,0.627197158773,200.0,253933.06710738334,3364978.4419510043
q_036,4,s300_x253908.067_y3365028.442,0.352139726782,300.0,253908.06710738334,3365028.4419510043
q_036,5,s300_x254950.317_y3364170.530,0.303124386221,300.0,254950.31714087684,3364170.5298480103
q_036,6,s500_x253783.067_y3364678.442,0.627365945946,500.0,253783.06710738334,3364678.4419510043
q_036,7,s200_x254852.800_y3365263.601,0.348890339118,200.0,254852.80039608278,3365263.6009922293
q_036,8,s200_x255353.340_y3364033.631,0.329677107287,200.0,255353.3403633765,3364033.6312788753
q_036,9,s300_x254725.317_y3364170.530,0.289921864286,300.0,254725.31714087684,3364170.5298480103
q_036,10,s300_x253908.067_y3364803.442,0.387136803755,300.0,253908.06710738334,3364803.4419510043
q_036,11,s200_x253905.470_y3363310.367,0.219692238434,200.0,253905.4698876719,3363310.3665024354
q_036,12,s300_x254977.800_y3365163.601,0.140172047776,300.0,254977.80039608278,3365163.6009922293
q_036,13,s200_x255867.683_y3363262.726,0.0802645988637,200.0,255867.68346681632,3363262.725988563
q_036,14,s200_x254174.835_y3365575.528,0.122132751415,200.0,254174.83531152448,3365575.5278006354
q_036,15,s200_x254839.058_y3364954.565,0.0985821956874,200.0,254839.0576404855,3364954.5652137767
q_036,16,s700_x253883.067_y3364778.442,0.263742206999,700.0,253883.06710738334,3364778.4419510043
q_036,17,s300_x255992.683_y3363537.726,0.0993650119836,300.0,255992.68346681632,3363537.725988563
q_036,18,s200_x254825.317_y3364045.530,0.15350889376,200.0,254825.31714087684,3364045.5298480103
q_036,19,s200_x254675.317_y3364045.530,0.0499562911184,200.0,254675.31714087684,3364045.5298480103
q_036,20,s200_x253783.067_y3364528.442,0.104562913712,200.0,253783.06710738334,3364528.4419510043
q_037,1,s300_x255253.340_y3364158.631,0.743252580206,300.0,255253.3403633765,3364158.6312788753
q_037,2,s200_x255353.340_y3364183.631,0.798302238664,200.0,255353.3403633765,3364183.6312788753
q_037,3,s200_x255867.683_y3363412.726,0.679947551613,200.0,255867.68346681632,3363412.725988563
q_037,4,s300_x253696.869_y3365412.480,0.294943764744,300.0,253696.86911584332,3365412.480292981
q_037,5,s200_x255353.340_y3364033.631,0.640657857583,200.0,255353.3403633765,3364033.6312788753
q_037,6,s200_x253891.675_y3363151.329,0.301416563431,200.0,253891.6746766661,3363151.329395751
q_037,7,s200_x254311.063_y3364966.491,0.341979283276,200.0,254311.06292971745,3364966.490741796
q_037,8,s200_x255544.480_y3366010.735,0.294853910249,200.0,255544.479752744,3366010.7347813593
q_037,9,s300_x254752.800_y3365163.601,0.187288969755,300.0,254752.80039608278,3365163.6009922293
q_037,10,s200_x255717.683_y3363262.726,0.343958833087,200.0,255717.68346681632,3363262.725988563
q_037,11,s200_x253091.241_y3364231.380,0.213433898927,200.0,253091.240806092,3364231.379625299
q_037,12,s200_x254147.293_y3364207.454,0.211999918917,200.0,254147.29280875245,3364207.454095203
q_037,13,s300_x255767.683_y3363312.726,0.189825452026,300.0,255767.68346681632,3363312.725988563
q_037,14,s300_x254922.843_y3363177.460,0.122315365988,300.0,254922.8429101142,3363177.4603543547
q_037,15,s200_x253919.267_y3364369.404,0.192293055186,200.0,253919.2673646185,3364369.404020838
q_037,16,s200_x255867.683_y3363262.726,0.18933688294,200.0,255867.68346681632,3363262.725988563
q_037,17,s200_x253810.673_y3365746.519,0.27165618936,200.0,253810.6733898759,3365746.519046808
q_037,18,s300_x254436.063_y3365016.491,0.0791144349824,300.0,254436.06292971745,3365016.490741796
q_037,19,s200_x254624.835_y3365125.528,0.0870507968061,200.0,254624.83531152448,3365125.5278006354
q_037,20,s200_x254311.063_y3364816.491,0.168015411956,200.0,254311.06292971745,3364816.490741796
q_038,1,s500_x255367.051_y3364642.665,0.4986236053,500.0,255367.05124207112,3364642.665366566
q_038,2,s300_x254964.058_y3364554.565,0.831514994998,300.0,254964.0576404855,3364554.5652137767
q_038,3,s200_x255367.051_y3364642.665,0.52716448004,200.0,255367.05124207112,3364642.665366566
q_038,4,s300_x255267.051_y3364767.665,0.718666899787,300.0,255267.05124207112,3364767.665366566
q_038,5,s300_x255492.051_y3364767.665,0.394426524708,300.0,255492.05124207112,3364767.665366566
q_038,6,s200_x255217.051_y3364492.665,0.524261231417,200.0,255217.05124207112,3364492.665366566
q_038,7,s200_x254675.317_y3364045.530,0.559050796518,200.0,254675.31714087684,3364045.5298480103
q_038,8,s200_x255908.727_y3365089.824,0.475312697393,200.0,255908.72724136055,3365089.8244257006
q_038,9,s200_x253783.067_y3364528.442,0.62297277952,200.0,253783.06710738334,3364528.4419510043
q_038,10,s200_x254989.058_y3364654.565,0.651570682109,200.0,254989.0576404855,3364654.5652137767
q_038,11,s200_x253633.067_y3364528.442,0.225468179774,200.0,253633.06710738334,3364528.4419510043
q_038,12,s300_x255267.051_y3364542.665,0.639063065726,300.0,255267.05124207112,3364542.665366566
q_038,13,s200_x255530.764_y3365101.700,0.201451546761,200.0,255530.76437190094,3365101.6998673794
q_038,14,s300_x255505.764_y3365151.700,0.386385014037,300.0,255505.76437190094,3365151.6998673794
q_038,15,s300_x254950.317_y3364395.530,0.052099898559,300.0,254950.31714087684,3364395.5298480103
q_038,16,s200_x254119.759_y3363139.382,0.0868447596485,200.0,254119.75934983813,3363139.382038584
q_038,17,s200_x254989.058_y3364504.565,0.200985910525,200.0,254989.0576404855,3364504.5652137767
q_038,18,s300_x254725.317_y3364170.530,0.0665412376206,300.0,254725.31714087684,3364170.5298480103
q_038,19,s300_x254950.317_y3364170.530,0.290227379681,300.0,254950.31714087684,3364170.5298480103
q_038,20,s200_x254975.317_y3364345.530,0.076629092832,200.0,254975.31714087684,3364345.5298480103
q_039,1,s200_x254839.058_y3364954.565,0.64911881647,200.0,254839.0576404855,3364954.5652137767
q_039,2,s200_x254852.800_y3365263.601,0.5437110389,200.0,254852.80039608278,3365263.6009922293
q_039,3,s300_x253908.067_y3365028.442,0.259759865499,300.0,253908.06710738334,3365028.4419510043
q_039,4,s200_x254675.317_y3364195.530,0.362854223237,200.0,254675.31714087684,3364195.5298480103
q_039,5,s200_x254624.835_y3365275.528,0.272798193294,200.0,254624.83531152448,3365275.5278006354
